Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/users/,93,0,12,12.9375096776032,5.949400016106665,26.127300108782947,18430.0,0.783179586234629,0.0,12,14,15,16,20,22,25,26,26,26,26
GET,/api/vk/token-status,228,0,870,903.8392859679574,728.0864000786096,1190.0412000250071,71.0,1.9200531791558646,0.0,880,940,990,1000,1100,1100,1200,1200,1200,1200,1200
GET,/candidate/dossier/[id],345,0,10,11.570269853025135,5.19890000578016,67.94919993262738,31391.0,2.9053436263542687,0.0,10,12,14,15,18,20,26,29,68,68,68
GET,/candidate/history,831,0,23,28.920499999614076,11.21269993018359,192.02909991145134,163684.0,6.998088560870717,0.0,23,28,33,36,48,60,87,99,190,190,190
GET,/candidate/new,190,0,10,11.186107371223011,4.981899983249605,67.13830004446208,29934.0,1.6000443159632205,0.0,10,12,13,15,17,19,28,30,67,67,67
GET,/candidate/new [csrf-refresh],91,0,10,10.817468143324112,5.204700049944222,26.147100026719272,29934.0,0.7663370144876477,0.0,10,12,13,13,16,20,26,26,26,26,26
POST,/candidate/start [invalid INN],91,0,8,9.612902191692738,4.8117999685928226,26.279599987901747,76.0,0.7663370144876477,0.0,8,10,11,12,15,21,24,26,26,26,26
GET,/chat/,334,0,10,11.496689519147852,4.4790999963879585,52.31519998051226,23770.0,2.812709481745872,0.0,10,12,13,15,17,21,29,36,52,52,52
GET,/chat/api/messages [GET],201,0,8,9.814912434180837,4.4819999020546675,41.49829992093146,258.4029850746269,1.6926784605716174,0.0,8,10,11,12,16,21,25,26,41,41,41
POST,/chat/api/messages [POST],115,0,14,15.310312162720315,7.3642999632284045,41.16669995710254,114.0,0.968447875451423,0.0,14,17,18,19,23,27,28,29,41,41,41
DELETE,/chat/api/messages/[id] [DELETE],115,0,10,11.923813039396444,6.981799961067736,45.83830002229661,12.0,0.968447875451423,0.0,10,12,13,15,18,21,25,25,46,46,46
GET,/company/history,547,0,16,19.97637989189326,6.943100015632808,100.77869996894151,71951.0,4.606443372799377,0.0,16,20,24,26,34,44,59,66,100,100,100
GET,/company/new,208,0,10,10.76614855936406,4.639299935661256,29.862900031730533,23108.0,1.7516274616860519,0.0,10,11,13,13,18,20,25,26,30,30,30
GET,/company/new [csrf-refresh],115,0,10,10.752095644483747,4.81670000590384,33.50889997091144,23108.0,0.968447875451423,0.0,10,11,12,13,16,22,25,26,34,34,34
POST,/company/start [invalid INN],115,0,8,9.075406087440966,4.46259998716414,57.41680006030947,76.0,0.968447875451423,0.0,8,9,10,11,14,17,20,23,57,57,57
GET,/dashboard,640,0,10,11.421215312293498,4.819600027985871,84.84550006687641,24768.0,5.389622959034006,0.0,10,12,13,14,18,21,26,30,85,85,85
GET,/login [GET],100,0,18,18.41805399628356,7.617200026288629,35.68839991930872,42921.0,0.8421285873490635,0.0,18,20,23,23,26,28,32,36,36,36,36
POST,/login [POST],100,0,330,337.21147599979304,295.2274999115616,426.6804000362754,24768.0,0.8421285873490635,0.0,330,350,350,360,390,400,420,430,430,430,430
GET,/subscribe,96,0,17,19.64850000149454,9.21249995008111,51.742800045758486,29934.0,0.8084434438551009,0.0,17,21,24,25,31,35,43,52,52,52,52
,Aggregated,4555,0,13,67.71410594898266,4.46259998716414,1190.0412000250071,52103.04302963776,38.35895715374984,0.0,13,18,22,25,46,730,920,1000,1200,1200,1200
