Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/chat/,"ConnectionRefusedError(10061, '[WinError 10061] No connection could be made because the target machine actively refused it.')",5,2026-06-23T14:44:03Z,2026-06-23T14:44:05Z
GET,/candidate/history,"ConnectionRefusedError(10061, '[WinError 10061] No connection could be made because the target machine actively refused it.')",18,2026-06-23T14:43:58Z,2026-06-23T14:44:06Z
GET,/dashboard,"ConnectionRefusedError(10061, '[WinError 10061] No connection could be made because the target machine actively refused it.')",12,2026-06-23T14:43:58Z,2026-06-23T14:44:06Z
GET,/candidate/dossier/[id],"ConnectionRefusedError(10061, '[WinError 10061] No connection could be made because the target machine actively refused it.')",2,2026-06-23T14:44:04Z,2026-06-23T14:44:05Z
GET,/subscribe,"ConnectionRefusedError(10061, '[WinError 10061] No connection could be made because the target machine actively refused it.')",5,2026-06-23T14:43:58Z,2026-06-23T14:44:06Z
GET,/api/vk/token-status,"ConnectionRefusedError(10061, '[WinError 10061] No connection could be made because the target machine actively refused it.')",9,2026-06-23T14:43:57Z,2026-06-23T14:44:05Z
GET,/candidate/new [csrf-refresh],"ConnectionRefusedError(10061, '[WinError 10061] No connection could be made because the target machine actively refused it.')",1,2026-06-23T14:43:57Z,2026-06-23T14:43:57Z
GET,/candidate/new,"ConnectionRefusedError(10061, '[WinError 10061] No connection could be made because the target machine actively refused it.')",4,2026-06-23T14:43:57Z,2026-06-23T14:44:06Z
POST,/chat/api/messages [POST],"ConnectionRefusedError(10061, '[WinError 10061] No connection could be made because the target machine actively refused it.')",1,2026-06-23T14:44:05Z,2026-06-23T14:44:05Z
GET,/company/history,"ConnectionRefusedError(10061, '[WinError 10061] No connection could be made because the target machine actively refused it.')",11,2026-06-23T14:43:57Z,2026-06-23T14:44:05Z
GET,/login [GET],"ConnectionRefusedError(10061, '[WinError 10061] No connection could be made because the target machine actively refused it.')",21,2026-06-23T14:44:03Z,2026-06-23T14:44:05Z
GET,/company/new,"ConnectionRefusedError(10061, '[WinError 10061] No connection could be made because the target machine actively refused it.')",5,2026-06-23T14:44:04Z,2026-06-23T14:44:06Z
GET,/chat/api/messages [GET],"ConnectionRefusedError(10061, '[WinError 10061] No connection could be made because the target machine actively refused it.')",4,2026-06-23T14:43:57Z,2026-06-23T14:44:05Z
POST,/company/start [invalid INN],CatchResponseError('Unexpected 0: '),1,2026-06-23T14:43:58Z,2026-06-23T14:43:58Z
POST,/login [POST],"ConnectionRefusedError(10061, '[WinError 10061] No connection could be made because the target machine actively refused it.')",42,2026-06-23T14:43:58Z,2026-06-23T14:44:06Z
GET,/company/new [csrf-refresh],"ConnectionRefusedError(10061, '[WinError 10061] No connection could be made because the target machine actively refused it.')",3,2026-06-23T14:43:57Z,2026-06-23T14:44:06Z
