Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782225822,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782225823,20,,Aggregated,0.000000,0.000000,80,110,660,690,730,830,870,870,870,870,870,62,0,80,273.8704629047143,5.125500028952956,868.0053000571206,35953.37096774193
1782225824,40,,Aggregated,0.000000,0.000000,78,590,700,730,870,920,960,1300,1300,1300,1300,97,0,78,309.6126567046686,5.125500028952956,1335.5356000829488,35892.113402061856
1782225825,80,,Aggregated,20.000000,0.000000,110,530,750,830,910,1100,1400,1500,1600,1600,1600,163,0,110,377.68116197048863,5.125500028952956,1634.1020999243483,39817.73006134969
1782225826,100,,Aggregated,41.000000,0.000000,140,610,810,860,920,1100,1400,1500,1600,1600,1600,240,0,130,402.93362791999243,5.125500028952956,1634.1020999243483,40279.73333333333
1782225827,120,,Aggregated,44.333333,0.000000,140,530,770,840,920,1100,1500,1600,1900,1900,1900,286,0,130,396.4967632896618,5.125500028952956,1855.9945999877527,42913.01748251748
1782225828,140,,Aggregated,50.500000,0.000000,360,600,810,860,1100,1500,1600,1900,2100,2100,2100,356,0,360,473.16583202369617,5.125500028952956,2115.849099936895,43593.2808988764
1782225829,160,,Aggregated,53.800000,0.000000,420,680,830,870,1200,1500,1900,2100,2500,2500,2500,437,0,420,526.2088544631603,5.125500028952956,2491.609300021082,42482.2585812357
1782225830,180,,Aggregated,49.500000,0.000000,490,750,870,950,1400,1600,2100,2400,2500,2500,2500,479,0,490,592.8402638842016,5.125500028952956,2491.609300021082,46107.61795407098
1782225831,200,,Aggregated,50.857143,0.000000,580,840,990,1100,1500,1900,2300,2400,2500,2500,2500,517,0,580,675.6458477764724,5.125500028952956,2507.5291000539437,47209.97098646035
1782225832,220,,Aggregated,54.750000,0.000000,700,1000,1200,1400,1800,2400,2900,3200,3200,3200,3200,598,0,700,826.6549647170941,5.125500028952956,3173.2898000627756,45352.608695652176
1782225833,240,,Aggregated,53.222222,0.000000,720,1100,1400,1500,2100,2600,3200,3700,4200,4200,4200,668,0,720,914.7029456588047,5.125500028952956,4178.926900029182,46722.684131736525
