Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782223404,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782223405,2,,Aggregated,0.000000,0.000000,38,38,55,55,55,55,55,55,55,55,55,4,2,18,31.72152498154901,15.151300001889467,55.11239997576922,21523.0
1782223406,4,,Aggregated,0.000000,0.000000,18,21,38,38,55,55,55,55,55,55,55,8,4,17,24.564212493714876,15.151300001889467,55.11239997576922,21523.0
1782223407,6,,Aggregated,0.000000,0.000000,18,24,24,24,38,55,55,55,55,55,55,16,8,17,22.140500012028497,12.438399950042367,55.11239997576922,21523.0
1782223408,8,,Aggregated,4.000000,2.000000,21,24,29,31,43,48,55,55,55,55,55,24,12,18,23.673666670219973,12.438399950042367,55.11239997576922,21523.0
1782223409,10,,Aggregated,4.000000,2.000000,23,26,30,31,40,48,55,55,55,55,55,32,16,22,24.40551875406527,12.438399950042367,55.11239997576922,21523.0
1782223410,10,,Aggregated,6.000000,3.000000,22,25,29,30,40,48,55,55,55,55,55,36,18,21,23.734163897137883,12.438399950042367,55.11239997576922,21523.0
1782223411,10,,Aggregated,6.400000,3.200000,21,25,27,29,38,43,55,55,55,55,55,42,21,19,22.91911667478936,9.748599957674742,55.11239997576922,21523.0
1782223412,10,,Aggregated,5.833333,2.833333,19,25,27,29,38,43,55,55,55,55,55,44,22,18,22.42267500630326,9.748599957674742,55.11239997576922,21523.0
1782223413,10,,Aggregated,5.571429,2.714286,17,24,26,28,38,43,55,55,55,55,55,48,24,16,21.61596876006418,9.748599957674742,55.11239997576922,21523.0
1782223414,10,,Aggregated,5.250000,2.625000,16,22,25,26,38,43,48,55,55,55,55,58,29,16,20.358356908124325,9.277399978600442,55.11239997576922,21523.0
1782223415,10,,Aggregated,4.888889,2.444444,16,21,25,26,38,43,48,55,55,55,55,60,30,16,20.08425334546094,9.277399978600442,55.11239997576922,21523.0
1782223416,10,,Aggregated,4.888889,2.444444,16,19,24,26,31,40,48,55,55,55,55,62,31,16,19.814396784039996,9.277399978600442,55.11239997576922,21523.0
1782223417,10,,Aggregated,5.400000,2.700000,16,19,24,26,31,40,48,55,55,55,55,66,33,16,19.43099394856924,9.277399978600442,55.11239997576922,21523.0
1782223418,10,,Aggregated,5.400000,2.700000,16,19,24,26,31,40,48,55,55,55,55,68,34,16,19.286451479488544,9.277399978600442,55.11239997576922,21523.0
1782223419,10,,Aggregated,4.600000,2.300000,16,18,23,24,30,40,48,55,55,55,55,76,38,15,18.71224737720025,9.277399978600442,55.11239997576922,21523.0
1782223420,10,,Aggregated,4.200000,2.100000,15,17,22,24,30,40,48,55,55,55,55,80,40,15,18.40007125865668,9.277399978600442,55.11239997576922,21523.0
1782223421,10,,Aggregated,4.200000,2.100000,15,17,22,24,30,40,48,55,55,55,55,80,40,15,18.40007125865668,9.277399978600442,55.11239997576922,21523.0
1782223423,10,,Aggregated,4.100000,2.100000,15,17,21,24,29,38,48,55,55,55,55,86,43,15,18.029602335192003,9.277399978600442,55.11239997576922,21523.0
1782223424,10,,Aggregated,4.100000,2.100000,15,16,19,23,28,38,48,55,55,55,55,92,46,14,17.64148261661277,9.277399978600442,55.11239997576922,21523.0
1782223425,10,,Aggregated,3.800000,1.900000,14,16,19,23,28,38,48,55,55,55,55,94,47,14,17.53101702853839,9.277399978600442,55.11239997576922,21523.0
1782223426,10,,Aggregated,4.200000,2.100000,14,16,19,22,28,38,48,55,55,55,55,96,48,14,17.402422923623817,9.277399978600442,55.11239997576922,21523.0
1782223427,10,,Aggregated,4.200000,2.100000,14,16,19,22,28,38,48,55,55,55,55,99,50,14,17.35762323986626,9.277399978600442,55.11239997576922,21421.272727272728
1782223428,10,,Aggregated,3.600000,1.800000,14,16,19,22,27,38,43,48,55,55,55,104,55,14,17.122735585032316,9.277399978600442,55.11239997576922,20941.98076923077
1782223429,10,,Aggregated,3.600000,1.800000,14,16,19,22,27,38,43,48,55,55,55,104,55,14,17.122735585032316,9.277399978600442,55.11239997576922,20941.98076923077
1782223430,10,,Aggregated,3.700000,1.900000,14,16,18,21,27,38,43,48,55,55,55,107,58,14,16.990562625638443,9.277399978600442,55.11239997576922,20675.906542056076
